start_time,end_time,text,speaker
00:01:56.000,00:01:57.000,I can't breathe.,UNKNOWN
00:01:57.000,00:01:58.000,Can I ask my heart?,UNKNOWN
00:01:58.000,00:02:00.000,Do we have a name?,UNKNOWN
00:02:00.000,00:02:01.000,Billy Bob.,UNKNOWN
00:02:01.000,00:02:02.000,Billy Bob.,UNKNOWN
00:02:02.000,00:02:08.000,I think you have some fluid or some air in your chest.,UNKNOWN
00:02:08.000,00:02:09.000,I would like to put a chest tube in.,UNKNOWN
00:02:09.000,00:02:11.000,I think it's going to hurt a little bit.,UNKNOWN
00:02:11.000,00:02:13.000,But I think it can help with your breathing.,UNKNOWN
00:02:13.000,00:02:14.000,I'm just kidding.,UNKNOWN
00:02:14.000,00:02:16.000,We'll take good care of you Billy Bob.,UNKNOWN
00:02:16.000,00:02:18.000,Just going to put your arm up here.,UNKNOWN
00:02:18.000,00:02:20.000,"So, what are we having this place right now?",UNKNOWN
00:02:20.000,00:02:22.000,If we start from something.,UNKNOWN
00:02:22.000,00:02:25.000,If we go and work structure the way.,UNKNOWN
00:02:25.000,00:02:28.000,Is the air with the air right now?,UNKNOWN
00:02:28.000,00:02:29.000,The airway is paid.,UNKNOWN
00:02:29.000,00:02:30.000,Billy Bob.,UNKNOWN
00:02:30.000,00:02:31.000,The airway is speaking so that's good.,UNKNOWN
00:02:31.000,00:02:32.000,If we go and be we have a.,UNKNOWN
00:02:32.000,00:02:33.000,Can't breathe.,UNKNOWN
00:02:33.000,00:02:35.000,It's breathing so decompress with a chest.,UNKNOWN
00:02:35.000,00:02:36.000,Oh here.,UNKNOWN
00:02:36.000,00:02:37.000,It's in.,UNKNOWN
00:02:37.000,00:02:38.000,It's in already.,UNKNOWN
00:02:38.000,00:02:40.000,I want to start hurts.,UNKNOWN
00:02:40.000,00:02:42.000,Sorry Billy Bob.,UNKNOWN
00:02:42.000,00:02:47.000,Is that air or blood coming out?,UNKNOWN
00:02:47.000,00:02:50.000,"So, once we start with the process for the chest.",UNKNOWN
00:02:50.000,00:02:51.000,All right.,UNKNOWN
00:02:51.000,00:02:52.000,I'm making the decision.,UNKNOWN
00:02:52.000,00:02:53.000,I'm not sure as low.,UNKNOWN
00:02:53.000,00:02:54.000,We're going to need the blood product.,UNKNOWN
00:02:54.000,00:02:56.000,We're going to step the chest.,UNKNOWN
00:02:56.000,00:02:57.000,Can't breathe.,UNKNOWN
00:02:57.000,00:03:00.000,We're going to need the blood going to be where.,UNKNOWN
00:03:00.000,00:03:05.000,We can give it the meantime a little bit of fluid.,UNKNOWN
00:03:05.000,00:03:11.000,Do I feel a rush of air or any fluid as I do my finger decompression on the left?,UNKNOWN
00:03:12.000,00:03:13.000,I feel like a dessert.,UNKNOWN
00:03:13.000,00:03:14.000,I don't know.,UNKNOWN
00:03:14.000,00:03:15.000,I don't know where we're going.,UNKNOWN
00:03:15.000,00:03:18.000,So just put a drain in and when the drain is in.,UNKNOWN
00:03:18.000,00:03:20.000,The drain is in on the left chest.,UNKNOWN
00:03:20.000,00:03:21.000,Do we have an ultrasound?,UNKNOWN
00:03:21.000,00:03:25.000,Are the vitals any better after the compression of the chest?,UNKNOWN
00:03:25.000,00:03:27.000,There's two.,UNKNOWN
00:03:27.000,00:03:29.000,"Well, all the two sets are fine.",UNKNOWN
00:03:29.000,00:03:31.000,But the patient is still.,UNKNOWN
00:03:31.000,00:03:34.000,You're interning the blood pressure.,UNKNOWN
00:03:34.000,00:03:37.000,I'm going to sheen one liter of vitamin.,UNKNOWN
00:03:37.000,00:03:40.000,Where's the light?,UNKNOWN
00:03:40.000,00:03:42.000,I do have an ultrasound.,UNKNOWN
00:03:42.000,00:03:45.000,I'm doing the E-fast exam.,UNKNOWN
00:03:45.000,00:03:49.000,Here's my sub-dye-formatic view.,UNKNOWN
00:03:49.000,00:03:53.000,So you're going to slide me on the left side and the right side is good.,UNKNOWN
00:03:53.000,00:03:55.000,Left side.,UNKNOWN
00:03:55.000,00:03:56.000,We have.,UNKNOWN
00:03:56.000,00:03:58.000,"Look, right upper quadrant.",UNKNOWN
00:03:58.000,00:03:59.000,Pressure is coming up a bit.,UNKNOWN
00:03:59.000,00:04:00.000,Right lower quadrant.,UNKNOWN
00:04:00.000,00:04:01.000,We know the time.,UNKNOWN
00:04:01.000,00:04:03.000,We'll throw out some of this left upper quadrant.,UNKNOWN
00:04:03.000,00:04:04.000,Left upper quadrant.,UNKNOWN
00:04:04.000,00:04:06.000,We're going to need stabilization.,UNKNOWN
00:04:06.000,00:04:09.000,And then.,UNKNOWN
00:04:09.000,00:04:14.000,I don't see if there's supposed to be blood around the heart or not.,UNKNOWN
00:04:14.000,00:04:16.000,I can't.,UNKNOWN
00:04:16.000,00:04:18.000,But I don't think so.,UNKNOWN
00:04:18.000,00:04:20.000,This?,UNKNOWN
00:04:20.000,00:04:24.000,I'm just not sure maybe.,UNKNOWN
00:04:24.000,00:04:26.000,Can I start?,UNKNOWN
00:04:26.000,00:04:28.000,Do you want to read the primary answer or do you have an answer?,UNKNOWN
00:04:28.000,00:04:29.000,So after.,UNKNOWN
00:04:29.000,00:04:31.000,Billy Bob.,UNKNOWN
00:04:31.000,00:04:33.000,"Billy Bob, can you hear me, buddy?",UNKNOWN
00:04:33.000,00:04:36.000,My breathing is better.,UNKNOWN
00:04:36.000,00:04:37.000,It is.,UNKNOWN
00:04:37.000,00:04:38.000,Good job.,UNKNOWN
00:04:38.000,00:04:39.000,Airways patent.,UNKNOWN
00:04:39.000,00:04:42.000,Brush down to the right.,UNKNOWN
00:04:42.000,00:04:43.000,No brush on.,UNKNOWN
00:04:43.000,00:04:44.000,No brush on.,UNKNOWN
00:04:44.000,00:04:47.000,There's pain in your chest.,UNKNOWN
00:04:47.000,00:04:48.000,Two.,UNKNOWN
00:04:48.000,00:04:49.000,It hurts.,UNKNOWN
00:04:49.000,00:04:51.000,"Yeah, so we can give him back and back.",UNKNOWN
00:04:51.000,00:04:53.000,It's a little bit to see if it helps.,UNKNOWN
00:04:53.000,00:04:55.000,Other brush on the left.,UNKNOWN
00:04:55.000,00:04:58.000,I didn't hear any brush sounds on the left.,UNKNOWN
00:04:58.000,00:05:00.000,Is it improved?,UNKNOWN
00:05:00.000,00:05:02.000,I would probably just repeat.,UNKNOWN
00:05:02.000,00:05:05.000,I know he's seen from the beginning.,UNKNOWN
00:05:05.000,00:05:07.000,So the airway remains spate.,UNKNOWN
00:05:07.000,00:05:12.000,Then this database is the air going in on the left side.,UNKNOWN
00:05:12.000,00:05:14.000,One of the test through is inserted.,UNKNOWN
00:05:14.000,00:05:15.000,Not really.,UNKNOWN
00:05:15.000,00:05:16.000,Really.,UNKNOWN
00:05:16.000,00:05:24.000,So right now we have a chest and an injury to the chest that seems to be a,UNKNOWN
00:05:24.000,00:05:25.000,chryoclox.,UNKNOWN
00:05:25.000,00:05:28.000,The patient isn't risk of cardiac injury as well.,UNKNOWN
00:05:28.000,00:05:30.000,The pressure remains low.,UNKNOWN
00:05:30.000,00:05:37.600,sure of what I see on the picture that was printed. I believe we get more,UNKNOWN
00:05:37.600,00:05:45.439,fluids that we get in blood. We can get them TXC and just keep going with,UNKNOWN
00:05:45.439,00:05:49.439,their primary serenity in the nursery while they're blood-infinity.,UNKNOWN
00:05:51.439,00:05:53.759,So you have a narrow pulse pressure too.,UNKNOWN
00:05:53.759,00:05:54.480,Yeah.,UNKNOWN
00:05:55.439,00:05:58.879,Serenity pass. Strong femoral pulses.,UNKNOWN
00:05:59.920,00:06:01.600,"Billy Bob, any pain when I push?",UNKNOWN
00:06:02.879,00:06:06.319,"Can you wiggle your toes for me? Oh, sorry, I said he will this toes. Good job.",UNKNOWN
00:06:10.800,00:06:12.720,"Charles, I'm here at Cardio fusion.",UNKNOWN
00:06:19.920,00:06:22.160,Perfect. I'm ready to roll the patient when you are.,UNKNOWN
00:06:23.120,00:06:24.160,Come on roll.,UNKNOWN
00:06:26.160,00:06:27.439,"Okay, I wish.",UNKNOWN
00:06:28.960,00:06:32.320,And so no improvement with the blood products or the leader of crystal legs.,UNKNOWN
00:06:34.080,00:06:34.640,The pressure.,UNKNOWN
00:06:43.680,00:06:46.480,We're recycling the pressure there. It sounds like a little bit better.,UNKNOWN
00:06:47.120,00:06:48.400,The pressure is increasing.,UNKNOWN
00:06:48.400,00:06:49.200,"Okay, give them.",UNKNOWN
00:06:50.000,00:06:51.040,Keep giving some blood.,UNKNOWN
00:06:53.360,00:06:59.680,So the question is what's the next step we have a patient with at least a hemotorax.,UNKNOWN
00:06:59.680,00:07:01.759,We're not sure if there's any fusion or not.,UNKNOWN
00:07:01.759,00:07:05.840,We probably at this point repeat the ultrasound.,UNKNOWN
00:07:05.840,00:07:10.640,See what is coming out of my drain. See if the output seems to be like a continuous,UNKNOWN
00:07:10.640,00:07:14.000,breathing prompting me to go to the chest. But at the same time if I had access,UNKNOWN
00:07:14.000,00:07:18.319,"to surgical capacity, but I don't really have access to your general surgeon and",UNKNOWN
00:07:18.319,00:07:22.079,anesthesiologist are available. There are times the case will be booked.,UNKNOWN
00:07:22.079,00:07:28.800,So I will I would be tempted to call my trauma surgery center to figure out what's the next step,UNKNOWN
00:07:28.800,00:07:34.000,"because that patient will need tertiary care. And if I end up doing something here,",UNKNOWN
00:07:34.000,00:07:37.199,I want the capacity after to take care of him further.,UNKNOWN
00:07:37.839,00:07:40.480,So I would call the trauma surgery center.,UNKNOWN
00:07:41.040,00:07:42.720,"Okay, they've accepted the transfer.",UNKNOWN
00:07:42.720,00:07:46.880,"Perfect. Good. So in the meantime, I will make sure my patients stay stable.",UNKNOWN
00:07:46.880,00:07:49.440,Then I've left product available for the transport.,UNKNOWN
00:07:49.440,00:07:52.000,Make sure that I get in touch with the star steam for transfer.,UNKNOWN
00:07:54.160,00:07:56.480,Should we anticipate the transfer?,UNKNOWN
00:07:56.480,00:08:01.360,"If the patient is stable for now, I wouldn't think they didn't because if we have any doubt of a potential",UNKNOWN
00:08:01.360,00:08:06.560,"obstructive shock, even with crash over the transport, then I don't want that right now.",UNKNOWN
00:08:06.560,00:08:08.960,Unless they're receiving center says otherwise.,UNKNOWN
00:08:09.519,00:08:12.719,Yep. Sounds good. That was awesome.,UNKNOWN
00:08:12.719,00:08:16.319,Was there supposed to be a human?,UNKNOWN
00:08:16.319,00:08:18.879,"Yeah, it's like it's tennis.",UNKNOWN
00:08:18.879,00:08:19.839,I'm just not sure.,UNKNOWN
00:08:19.839,00:08:21.199,"Well, this a hemo.",UNKNOWN
00:08:21.199,00:08:22.240,"Yeah, I did that.",UNKNOWN
00:08:22.240,00:08:24.319,But I'm not sure is it supposed to be a few years?,UNKNOWN
00:08:24.319,00:08:26.240,"Yeah, there's supposed to be a small in there.",UNKNOWN
00:08:26.240,00:08:27.039,Okay.,UNKNOWN
00:08:27.039,00:08:27.759,A little bit.,UNKNOWN
00:08:27.759,00:08:28.959,Because he needs a tsunami.,UNKNOWN
00:08:28.959,00:08:31.199,"Yeah, I was going to say like should we crack it?",UNKNOWN
00:08:33.120,00:08:34.240,Let's crack it.,UNKNOWN
00:08:34.240,00:08:35.360,Sorry.,UNKNOWN
00:08:36.159,00:08:37.360,It wasn't great.,UNKNOWN
00:08:37.360,00:08:38.879,But it's perfect.,UNKNOWN
00:08:38.879,00:08:40.879,That's exactly how we want to stop it.,UNKNOWN
00:08:40.879,00:08:41.840,Okay.,UNKNOWN
00:08:41.840,00:08:42.639,That's exact.,UNKNOWN
